problem_id,fen,mate_n,risposta_giusta,timed_pred,timed_correct,untimed_pred,untimed_correct,llm_pred,llm_correct,llm_error
chesscom_5_60,5b1k/8/p1pr1pQp/3p3p/1P6/8/P4PPP/4R1K1 w - - 3 31,3,e1e8,g6h5,False,g6h5,False,,False,
chesscom_86_69,6k1/1p5n/p5Q1/1b3p2/3Pq3/1P4P1/P4P1P/4rBK1 b - - 7 35,7,g8h8,g8h8,True,g8h8,True,,False,
chesscom_129_96,5k2/1p1q1p2/p5pp/3N4/2P4P/2Q3P1/7K/8 w - - 4 49,1,c3h8,d5f6,False,c3h8,True,c3c5,False,
chesscom_127_99,7k/4b2P/8/8/p6p/2r5/7K/8 b - - 1 50,5,a4a3,h4h3,False,h4h3,False,h8h7,False,
chesscom_142_69,5rk1/7p/p3p1p1/2p3P1/Bp6/3Pq3/PPP5/3K4 b - - 1 35,1,f8f1,e3d3,False,e3g5,False,e3d3,False,
chesscom_140_60,4rk2/R6R/1p2rpp1/4p3/8/6B1/P4P1P/6K1 w - - 1 31,1,h7h8,h7g7,False,h7g7,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5635, Req"
chesscom_144_72,2r4k/5pp1/2P4p/5Q2/3N4/1N4PP/Pq3P2/R5K1 w - - 3 37,9,f5c8,f5c8,True,f5c8,True,f5c8,True,
chesscom_117_189,K7/7r/2k5/8/8/8/8/8 b - - 89 95,2,c6b6,h7h8,False,h7h8,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 6646, Req"
chesscom_157_75,2r3k1/6p1/p3r2p/3Q4/3KN3/P4P2/8/4q3 b - - 2 38,6,e1d1,c8c3,False,e1h4,False,e1e4,False,
chesscom_165_60,7k/p4Qp1/7p/2p5/8/1P5q/PB4R1/1R5K w - - 2 31,5,h1g1,h1g1,True,g2h2,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 6453, Req"
chesscom_169_93,1k2r3/p3q1b1/2Q5/8/3P4/1B4P1/PP4K1/7R b - - 0 47,3,e7e2,e7g5,False,e7g5,False,e7e2,True,
chesscom_179_72,5r2/5pk1/p7/1p6/7Q/1BP4P/P5P1/7K w - - 0 37,9,h4g5,h4e7,False,h4e7,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5761, Req"
chesscom_171_93,8/5k2/5P1p/p6K/2P3P1/1P5R/7r/8 b - - 1 47,1,h2h3,h2h3,True,h2h3,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 4758, Req"
chesscom_185_63,5r1k/pp5p/2p4b/2Pp1Q2/1P1P4/P3q3/6PP/5K2 b - - 3 32,1,f8f5,f8f5,True,f8f5,True,f8f5,True,
chesscom_180_123,8/8/8/1p6/8/pk6/2p5/2K5 b - - 1 62,7,a3a2,b5b4,False,b5b4,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5303, Req"
chesscom_225_60,4b3/p1k5/2p1BQ2/6p1/3p4/Pr1P3P/5P2/2R3K1 w - - 1 31,10,f6e7,f6g5,False,f6g5,False,,False,
chesscom_238_45,1r4k1/4nppp/p1p1p3/2b1P3/3P4/2P5/PN5q/1KB5 b - - 2 23,4,c5a3,b8b2,False,b8b2,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5430, Req"
chesscom_257_45,1k1rr3/1pp2ppp/8/PN6/8/R5P1/1P1qB2P/5K1n b - - 1 23,2,d2e2,d2e2,True,d2e2,True,,False,
chesscom_200_126,7Q/5K2/1k3b2/8/8/8/8/8 w - - 0 64,10,f7f6,h8c8,False,h8c8,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5442, Req"
chesscom_200_150,8/2k2K2/7Q/8/8/8/8/8 w - - 23 76,6,f7e7,h6h8,False,h6h8,False,,False,
chesscom_252_72,8/8/2PN3k/3b1Q2/p4p2/8/1P3KPP/8 w - - 1 37,8,f5d5,f5d5,True,f5d5,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5984, Req"
chesscom_266_60,r4qk1/4p3/2p1R3/p4Q2/1pPb2Pp/7P/P1B3P1/7K w - - 0 31,1,f5h7,f5h7,True,f5h7,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5106, Req"
chesscom_242_90,3Q4/6R1/k1b5/1p1pq3/1B2n3/P7/6P1/7K w - - 2 46,1,d8a5,d8a5,True,d8a5,True,,False,
chesscom_270_69,1R2Q3/5ppk/5b1p/2p5/5P2/P4N1P/6PK/2qr4 b - - 1 35,7,c1f4,d1h1,False,d1h1,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5803, Req"
chesscom_277_60,4k3/3rn1p1/2p1Q3/p4p1q/Pp4n1/1B1P4/1PP5/1K2R3 w - - 3 31,1,e6g8,e6d7,False,e6d7,False,,False,
chesscom_272_93,2r1R1k1/6p1/3q3p/8/p5PK/1p6/4R3/8 b - - 1 47,10,c8e8,c8e8,True,c8e8,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5947, Req"
chesscom_287_69,2k5/ppp5/8/8/P1P5/5p2/4q3/R1R3K1 b - - 3 35,1,e2g2,e2g2,True,e2g2,True,,False,
chesscom_302_87,8/P4rk1/2Q5/4P2p/7q/6p1/1r2nPPN/R4R1K b - - 0 44,1,h4h2,h4h2,True,h4h2,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5811, Req"
chesscom_310_96,6rk/2PPR1p1/5p1p/5P2/1p4PP/1P6/7K/8 w - - 0 49,5,d7d8q,e7f7,False,e7f7,False,f7h7,False,
chesscom_307_105,8/8/8/4K3/8/3kp3/8/8 b - - 1 53,10,e3e2,e3e2,True,d3e2,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5639, Req"
chesscom_319_72,6k1/2R3pp/pr6/3b1p2/1P6/P2BrPQP/6P1/2R3K1 w - - 0 37,1,g3g7,g3g7,True,g3g7,True,g3g7,True,
chesscom_325_90,4k3/1b5Q/p5q1/2n3b1/P7/5R1P/8/5BK1 w - - 2 46,10,h7g6,h7g6,True,h7g6,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5201, Req"
chesscom_321_84,r1r5/5k2/p2Q1B2/3P4/8/6P1/2p2P1P/6K1 w - - 0 43,6,d6e6,d6e7,False,d6e7,False,,False,
chesscom_313_117,8/5k2/2r5/3p4/3Pn3/4K3/8/2B2b2 b - - 0 59,6,c6c1,c6c1,True,c6c1,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5933, Req"
chesscom_327_75,6k1/p5pp/2p5/8/2P1q3/PK6/1P5P/4r3 b - - 1 38,7,e1e3,e4c4,False,e4c4,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 4765, Req"
chesscom_330_78,1k2r1n1/p1r5/BpQ1P1p1/4Pp1p/8/7P/6N1/2b3K1 w - - 2 40,2,c6e8,c6e8,True,c6e8,True,,False,
chesscom_326_87,1r3k2/4bB2/4Pp2/5P1P/3n2P1/8/1P4K1/8 b - - 0 44,9,b8b2,d4c6,False,b8b2,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5803, Req"
chesscom_328_99,8/8/8/1p5p/1P3R2/1P5k/3brp2/3K4 b - - 1 50,10,d2f4,e2e1,False,e2e1,False,,False,
chesscom_343_99,7R/k5p1/P7/8/3P3p/1qP3b1/3BB1P1/5K2 b - - 8 50,3,b3b1,b3f7,False,b3f7,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5568, Req"
chesscom_363_78,5Q2/3N2pp/4ppk1/3b4/4n1PP/4b3/q4P2/4R1K1 w - - 4 40,2,f8e8,h4h5,False,h4h5,False,,False,
chesscom_350_126,8/8/3k4/6PR/5K2/8/8/8 w - - 1 64,7,g5g6,h5h8,False,h5h8,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 6128, Req"
chesscom_354_111,8/8/6p1/8/4k3/6r1/5K2/8 b - - 7 56,9,e4f4,g3g5,False,g3g5,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5248, Req"
chesscom_379_78,4Nr1k/p3QP2/1p4pp/8/P6P/1n6/5PP1/3R2K1 w - - 2 40,2,e7f8,e7f8,True,e7f8,True,e7f8,True,
chesscom_368_150,2r1k3/P6P/1pN1P1K1/1P6/8/8/8/8 w - - 1 76,1,h7h8q,e6e7,False,e6e7,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5018, Req"
chesscom_382_78,1k2r3/1p1P4/2n5/2P5/1p4P1/5q1P/1Q5K/R7 w - - 1 40,4,d7e8q,a1a8,False,d7e8q,True,,False,
chesscom_390_60,3r1k2/Rn4pp/6q1/1p2Q3/8/7P/1PP2PP1/3R2K1 w - - 1 31,4,d1d8,a7b7,False,e5b5,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5800, Req"
chesscom_391_66,1r5r/4Rp1p/p2b1P2/6Nb/3k4/PQ6/1PP5/1K4N1 w - - 1 34,6,b3d3,b3d3,True,b3e3,False,,False,
chesscom_384_123,8/8/8/8/8/5K2/6p1/5k2 b - - 5 62,9,g2g1q,f1e1,False,g2g1q,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5589, Req"
chesscom_421_78,3r4/8/7Q/p2kq2P/3p2P1/8/PP3P2/2R3K1 w - - 2 40,1,h6c6,h6c6,True,h6c6,True,h6c6,True,
chesscom_400_96,6k1/3R2n1/3B3p/8/PpK1Q1q1/1Pb1P3/6P1/8 w - - 27 49,6,e4g4,e4g4,True,e4g4,True,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5574, Req"
chesscom_461_60,6k1/3q1pPp/4p3/3p4/2p1N3/P3P1Q1/1rr3PP/3R3K w - - 8 31,1,e4f6,e4g5,False,e4g5,False,e4f6,True,
chesscom_466_69,4r1kb/5r1p/1Q1B2pP/3N4/1P6/2Pn4/P1K5/6q1 b - - 0 35,10,g1g2,g1c1,False,g1c1,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5737, Req"
chesscom_475_102,8/5R2/1p1kP1p1/3P3p/p7/P1N5/1P6/RK6 w - - 0 52,10,f7d7,f7d7,True,f7d7,True,,False,
chesscom_473_78,7k/6p1/7p/4q3/8/1P1Qb1P1/P4P1P/2R3K1 w - - 0 40,2,c1c8,d3d8,False,d3d8,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5795, Req"
chesscom_476_108,5R2/2P3pk/8/7p/6rP/5K2/2R2P2/8 w - - 1 55,5,c7c8q,f8e8,False,f8e8,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 4733, Req"
chesscom_476_114,5R2/2R5/6pk/5Q1p/7r/5K2/5P2/8 w - - 2 58,1,f8h8,f5g6,False,f5g6,False,,False,
chesscom_488_102,1R6/8/7P/8/p7/P3K3/2k1B3/8 w - - 1 52,3,h6h7,e2d3,False,e2d3,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5491, Req"
chesscom_499_96,Q7/b5k1/7p/6p1/4Rp2/8/3r1PPP/6K1 w - - 0 49,6,a8a7,a8a7,True,a8a7,True,,False,
chesscom_497_81,6r1/2B5/8/1pN2P2/8/5k2/4n2K/8 b - - 0 41,1,g8h8,g8g1,False,g8g1,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5772, Req"
chesscom_522_63,r6r/6p1/1k3n1p/p2bN3/1bpP1QPP/6K1/2q5/7R b - - 1 32,1,c2g2,c2g2,True,c2g2,True,c2g2,True,
chesscom_507_90,6k1/R7/6N1/7P/8/5PK1/pr4P1/8 w - - 1 46,3,h5h6,g6e5,False,g6e5,False,,False,"rate limited (429): {""error"":{""message"":""Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m1hdtcsketrt6zsxrmvqf1ks` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5349, Req"
chesscom_507_126,2k4r/5PR1/4KN2/8/8/8/8/8 w - - 3 64,9,g7g8,f6d5,False,f6d5,False,,False,
