n,totale,timed_corrette,timed_acc,untimed_corrette,untimed_acc,llm_corrette,llm_acc
1,30,13,0.433333,13,0.433333,6,0.200000
2,30,11,0.366667,9,0.300000,1,0.033333
3,30,5,0.166667,5,0.166667,1,0.033333
4,30,5,0.166667,7,0.233333,0,0.000000
5,30,10,0.333333,10,0.333333,0,0.000000
6,10,5,0.500000,3,0.300000,0,0.000000
7,10,1,0.100000,2,0.200000,0,0.000000
8,10,2,0.200000,3,0.300000,0,0.000000
9,10,2,0.200000,4,0.400000,1,0.100000
10,10,5,0.500000,4,0.400000,0,0.000000
all,200,59,0.295000,60,0.300000,9,0.045000
