Game_ID,White,Black,Result,Turno,Colore_Mossa,Pezzo,Mossa_SAN,Mossa_UCI,Lichess_Eval,Lichess_Clock,Stockfish_Best,Stockfish_Mate_In,Stockfish_Alts
1,BFG9k,mamalak,1-0,13,BIANCA,REGINA,Qe8#,f7e8,,,f7e8,1,"d4d5,g2g3"
8,hostking,troepianiz,1-0,26,BIANCA,TORRE,Rbe1+,b1e1,,,h8g8,3,"h8h6,f1e1"
8,hostking,troepianiz,1-0,27,BIANCA,TORRE,Rxe7+,e1e7,,,h8g8,2,"h8h6,h8b2"
9,manos68,jtkjtkful,1-0,33,BIANCA,REGINA,Qxc5,d6c5,,,d6f6,4,"h3g4,d6c5"
9,manos68,jtkjtkful,1-0,36,BIANCA,REGINA,Qe5+,c5e5,,,c5e5,5,"c5g5,c5a5"
9,manos68,jtkjtkful,1-0,36,NERA,PEDONE,f6,f7f6,,,f7f6,-4,"g7g8,g7f8"
9,manos68,jtkjtkful,1-0,37,BIANCA,REGINA,Qxc7+,e5c7,,,e5c7,4,"h1h7,e5a5"
11,BFG9k,Sagaz,0-1,32,NERA,TORRE,Rc2+,e2c2,,,e2e1,1,"e2c2,e2e6"
11,BFG9k,Sagaz,0-1,35,NERA,TORRE,Rexe1+,e7e1,,,e7e1,5,"h4g3,c1e1"
11,BFG9k,Sagaz,0-1,36,BIANCA,RE,Kg2,g1g2,,,g1g2,-4,g1h2
11,BFG9k,Sagaz,0-1,36,NERA,ALFIERE,Be4+,d3e4,,,d3e4,4,"e1h1,e1g1"
11,BFG9k,Sagaz,0-1,37,BIANCA,PEDONE,f3,f2f3,,,f6f3,-3,"f2f3,g2h2"
11,BFG9k,Sagaz,0-1,37,NERA,TORRE,Rc2#,c1c2,,,e1e2,1,"c1c2,e4f3"
14,Abd0,Killi,1-0,31,NERA,CAVALLO,Ng6,e7g6,,,g7g6,-5,"e7f5,e7g6"
14,Abd0,Killi,1-0,32,BIANCA,PEDONE,fxg7,f6g7,,,f6g7,4,"e4b7,e4g6"
14,Abd0,Killi,1-0,32,NERA,TORRE,Rxf1+,f8f1,,,d8f6,-3,"f8f1,f8e8"
14,Abd0,Killi,1-0,33,BIANCA,RE,Kxf1,g1f1,,,g1f1,3,g1g2
14,Abd0,Killi,1-0,33,NERA,PEDONE,h5,h6h5,,,h6h5,-2,"a5a4,d8e7"
14,Abd0,Killi,1-0,34,BIANCA,PEDONE,g8=Q+,g7g8q,,,g7g8q,2,"e4g6,h2h4"
14,Abd0,Killi,1-0,34,NERA,RE,Kh6,h7h6,,,h7h6,-1,
14,Abd0,Killi,1-0,35,BIANCA,REGINA,Qexg6#,e4g6,,,e4g6,1,"g8g6,g8g7"
16,troepianiz,hostking,0-1,8,NERA,ALFIERE,Bf2#,c5f2,,,c5f2,1,"e4g3,c5b4"
18,VanillaShamanilla,mamalak,1-0,28,BIANCA,ALFIERE,Bd4+,e5d4,,,c3d5,2,"e5f6,e5d4"
20,Killi,Abd0,1-0,19,BIANCA,CAVALLO,Nf7#,e5f7,,,e5f7,1,"e5g6,f1c4"
21,ghosty,jorespi,1-0,33,BIANCA,REGINA,Qh6+,f6h6,,,f6f5,4,"d6a6,f6h6"
21,ghosty,jorespi,1-0,34,BIANCA,TORRE,Rd8+,d6d8,,,d6d8,5,"h6f6,g2g3"
21,ghosty,jorespi,1-0,34,NERA,RE,Kf7,g8f7,,,g8f7,-4,
21,ghosty,jorespi,1-0,35,BIANCA,PEDONE,e5,e4e5,,,h6f4,4,"h6h5,h6d6"
21,ghosty,jorespi,1-0,36,BIANCA,REGINA,Qf6#,h6f6,,,h6f6,1,"e5e6,h6h5"
22,6WX,adamsrj,1-0,19,BIANCA,REGINA,Qh7#,g6h7,,,g6h7,1,"d1e1,e6d7"
